AW1200H;H_VC;"12"" REFRIG. SHUT-OFF VALVE, ANGLE, BW, HW";22893
AW1400C;H_VC;"14""REFRIG.SHUT-OFF VALVE ANGLE,BW,SC";45894
AW1400H;H_VC;"14""NH3 SHUT-OFF VALVE,ANGLE,BW,HW";45894
AW150C;H_VC;"1-1/2"" ANGLE SHUT-OFF VALVE, BW, SC";642
AW150H;H_VC;"1-1/2"" ANGLE SHUT-OFF VALVE, BW,HW";642
AW1600C;H_VC;"16""REFRIG.SHUT-OFF VALVE ANGLE,WELED,SC";63466
AW1600H;H_VC;"16"" REFRIG.SHUT-OFF VLV,ANGLE BW,HW";63466
AW1800C;H_VC;"18""REFRIG.SHUT-OFF VALVE ANGLE,BW,SC";77067
AW1800H;H_VC;"18"" REFRIG.SHUT-OFF VLV. ANGLE BW, HW";77067
AW200C;H_VC;"2"" REF SHUT-OFF VLV ANGLE,BW,SEAL CAP";721
AW200H;H_VC;"2"" AMMONIA SHUT-OFF VALVE ANGLE,BW,HW";721
AW251C;H_VC;"2-1/2""REFRIG SHUT-OFF VALVE ANGLE,WLDD,SEAL CAP";958
AW251H;H_VC;"2-1/2""NH3 SHUT-OFF VALVE ANGLE,BW,HW";958
AW301C;H_VC;"3""REFRIG SHUT-OFF VALVE ANGLE,BW,SC";1384
AW301H;H_VC;"3"" AMMONIA SHUT-OFF VALVE ANGLE,BW,HW";1384
AW402C;H_VC;"4"" REFRIG. SHUT-OFF VALVE ANGLE, WELDED, SC";1790
AW402H;H_VC;"4"" REFRIG. SHUT-OFF VALVE ANGLE, BW, HANDWHEEL";1790
AW500C;H_VC;"5"" REFRIG. SHUT-OFF VALVE ANGLE, WELDED, SC";3020
AW500H;H_VC;"5"" REFRIG. SHUT-OFF VALVE ANGLE, BW, HW";3020
AW600C;H_VC;"6"" REFRIG SHUT-OFF VALVE, ANGLE, WELDED, SC";3492
AW600H;H_VC;"6"" REFRIG SHUT-OFF VALVE, ANGLE, WELDED, HANDWHEEL";3492
AW800C;H_VC;"8"" REFRIG. SHUT-OFF VALVE ANGLE, WELDED, SEAL CAP";7397
AW800H;H_VC;"8"" REFRIG. SHUT-OFF VALVE ANGLE, BW, HW";7397
AWB050C;H_VC;"1/2"" SHUT-OFF VLV,ANG,BLT.BNT, BW,SC";288
AWB050H;H_VC;"1/2"" SHUTOFF VALVE, ANGLE, BW, 4BOLT, HW";288
AWB075C;H_VC;"3/4"" SHUT-OFF VLV,ANG,4-BLT.BW,SC";339
AWB075H;H_VC;"3/4"" SHUTOFF VLV,ANG,HW,BW,4BOLT";339
AWB100C;H_VC;"1"" ANGLE SHUT-OFF,BLT.BNT.BW,SC";356
AWB100H;H_VC;"1"" SHUT-OFF VLV,ANGLE,HW,BW,4BOLT";356
AWB125C;H_VC;"1-1/4"" ANG. SHUT-OFF VLV,BLT.BNT,BW,SC";494
AWB125H;H_VC;"1-1/4"" ANG. SHUT-OFF VLV, BW, HW,";494
AWE050C;H_VC;"1/2"" SHUT-OFF VLV,ANGLE BW EXT NECK,SC";403
AWE075C;H_VC;"3/4"" SHUT-OFF VLV,ANG,BW,SC,EXT NECK,4-BLT";458
AWE075H;H_VC;"3/4"" SHUT-OFF VLV,ANGLE BW EXT NECK,HW";458
AWE100C;H_VC;"1"" SHUT-OFF VALVE,ANGLE,EXTENDED NECK,BW,SC";538
AWE100H;H_VC;"1"" SHUT-OFF VALVE, ANGLE, EXTENDED NECK, BW, HW";538
AWE125C;H_VC;"1-1/4"" SOV,ANGLE BW EXTENDED NECK,SEAL CAP";680
AWE150C;H_VC;"1-1/2"" SHUT-OFF VLV,ANGLE BW,EXT NECK,SC";834
